English,Polish
NO,nie
this,to
myself,się
In,w
on,na
and,i
That,że
With,z
What,co
Is,jest
down,do
Yes,tak
about,o
How,jak
But,ale
and,a
me,mnie
to me,mi
behind,za
I,ja
this,tym
this,tego
him,go
these,ci
after,po
Just,tylko
Whether,czy
here,tu
Maybe,może
I am,jestem
has,ma
you,ty
you,cię
I have,mam
You are,jesteś
Already,już
If,jeśli
For,dla
I know,wiem
something,coś
All right,dobrze
So,więc
From,od
Now,teraz
Mr,pan
All,wszystko
to be,być
will be,będzie
You have,masz
nothing,nic
over there,tam
I can,mogę
Please,proszę
her,jej
are,są
Where,gdzie
When,kiedy
this,ten
he,on
you,ciebie
that,by
herself,sobie
That,ze
was,był
You know,wiesz
Very,bardzo
was,było
By,przez
his,jego
I,ją
I want,chcę
Why,dlaczego
you,pani
still,jeszcze
my,mój
us,nas
To,żeby
yeah,no
because,bo
You want,chcesz
their,ich
Too,też
here,tutaj
Really,naprawdę
Never,nigdy
We have,mamy
Who,kto
You can,możesz
All right,dobra
Sorry,przepraszam
him,mu
When,gdy
I have to,muszę
order,porządku
Thank you,dziękuję
even,nawet
I guess,chyba
house,domu
She,ona
True,prawda
to do,zrobić
was,była
Exactly,właśnie
I will,będę